node_1,node_2
0,0
0,0.003333333333333
0,0.006666666666667
0,0.01
0,0.013333333333333
0,0.016666666666667
0,0.02
0.003,0
0.003,0.003333333333333
0.003,0.006666666666667
0.003,0.01
0.003,0.013333333333333
0.003,0.016666666666667
0.003,0.02
0.006,0
0.006,0.003333333333333
0.006,0.006666666666667
0.006,0.01
0.006,0.013333333333333
0.006,0.016666666666667
0.006,0.02
0.009,0
0.009,0.003333333333333
0.009,0.006666666666667
0.009,0.01
0.009,0.013333333333333
0.009,0.016666666666667
0.009,0.02
0.012,0
0.012,0.003333333333333
0.012,0.006666666666667
0.012,0.01
0.012,0.013333333333333
0.012,0.016666666666667
0.012,0.02
0.015,0
0.015,0.003333333333333
0.015,0.006666666666667
0.015,0.01
0.015,0.013333333333333
0.015,0.016666666666667
0.015,0.02
0.018,0
0.018,0.003333333333333
0.018,0.006666666666667
0.018,0.01
0.018,0.013333333333333
0.018,0.016666666666667
0.018,0.02
0.021,0
0.021,0.003333333333333
0.021,0.006666666666667
0.021,0.01
0.021,0.013333333333333
0.021,0.016666666666667
0.021,0.02
0.024,0
0.024,0.003333333333333
0.024,0.006666666666667
0.024,0.01
0.024,0.013333333333333
0.024,0.016666666666667
0.024,0.02
0.027,0
0.027,0.003333333333333
0.027,0.006666666666667
0.027,0.01
0.027,0.013333333333333
0.027,0.016666666666667
0.027,0.02
0.03,0
0.03,0.003333333333333
0.03,0.006666666666667
0.03,0.01
0.03,0.013333333333333
0.03,0.016666666666667
0.03,0.02
0.033,0
0.033,0.003333333333333
0.033,0.006666666666667
0.033,0.01
0.033,0.013333333333333
0.033,0.016666666666667
0.033,0.02
0.036,0
0.036,0.003333333333333
0.036,0.006666666666667
0.036,0.01
0.036,0.013333333333333
0.036,0.016666666666667
0.036,0.02
0.039,0
0.039,0.003333333333333
0.039,0.006666666666667
0.039,0.01
0.039,0.013333333333333
0.039,0.016666666666667
0.039,0.02
0.042,0
0.042,0.003333333333333
0.042,0.006666666666667
0.042,0.01
0.042,0.013333333333333
0.042,0.016666666666667
0.042,0.02
0.045,0
0.045,0.003333333333333
0.045,0.006666666666667
0.045,0.01
0.045,0.013333333333333
0.045,0.016666666666667
0.045,0.02
0.048,0
0.048,0.003333333333333
0.048,0.006666666666667
0.048,0.01
0.048,0.013333333333333
0.048,0.016666666666667
0.048,0.02
0.051,0
0.051,0.003333333333333
0.051,0.006666666666667
0.051,0.01
0.051,0.013333333333333
0.051,0.016666666666667
0.051,0.02
0.054,0
0.054,0.003333333333333
0.054,0.006666666666667
0.054,0.01
0.054,0.013333333333333
0.054,0.016666666666667
0.054,0.02
0.057,0
0.057,0.003333333333333
0.057,0.006666666666667
0.057,0.01
0.057,0.013333333333333
0.057,0.016666666666667
0.057,0.02
0.06,0
0.06,0.003333333333333
0.06,0.006666666666667
0.06,0.01
0.06,0.013333333333333
0.06,0.016666666666667
0.06,0.02
